============== PROGRAM TRACE ==============
8630ns , 0x8c , x00 , 0x00000001
8640ns , 0xb0 , x00 , 0x00000800
8670ns , 0xb4 , x05 , 0x000000b4
8680ns , 0xb8 , x05 , 0x000000c4
8690ns , 0xbc , x00 , 0x000000c8
8720ns , 0xc0 , x10 , 0x00000000
8730ns , 0xc4 , x03 , 0x00000002
8830ns , 0x0 , x00 , 0x00000004
8900ns , 0x4 , x01 , 0x00000000
8910ns , 0x8 , x02 , 0x00000000
8920ns , 0xc , x03 , 0x00000000
8930ns , 0x10 , x04 , 0x00000000
8940ns , 0x14 , x05 , 0x00000000
8950ns , 0x18 , x06 , 0x00000000
8960ns , 0x1c , x07 , 0x00000000
8970ns , 0x20 , x08 , 0x00000000
8980ns , 0x24 , x09 , 0x00000000
8990ns , 0x28 , x10 , 0x00000000
9000ns , 0x2c , x11 , 0x00000000
9010ns , 0x30 , x12 , 0x00000000
9020ns , 0x34 , x13 , 0x00000000
9030ns , 0x38 , x14 , 0x00000000
9040ns , 0x3c , x15 , 0x00000000
9050ns , 0x40 , x16 , 0x00000000
9060ns , 0x44 , x17 , 0x00000000
9070ns , 0x48 , x18 , 0x00000000
9080ns , 0x4c , x19 , 0x00000000
9090ns , 0x50 , x20 , 0x00000000
9100ns , 0x54 , x21 , 0x00000000
9110ns , 0x58 , x22 , 0x00000000
9120ns , 0x5c , x23 , 0x00000000
9130ns , 0x60 , x24 , 0x00000000
9140ns , 0x64 , x25 , 0x00000000
9150ns , 0x68 , x26 , 0x00000000
9160ns , 0x6c , x27 , 0x00000000
9170ns , 0x70 , x28 , 0x00000000
9180ns , 0x74 , x29 , 0x00000000
9190ns , 0x78 , x30 , 0x00000000
9200ns , 0x7c , x31 , 0x00000000
9210ns , 0x80 , x03 , 0x00000000
9220ns , 0x84 , x10 , 0x00000001
9230ns , 0x88 , x10 , 0x80000000
9240ns , 0x8c , x00 , 0x00000001
9250ns , 0xb0 , x00 , 0x00000800
9280ns , 0xb4 , x05 , 0x000000b4
9290ns , 0xb8 , x05 , 0x000000c4
9300ns , 0xbc , x00 , 0x000000c8
9330ns , 0xc0 , x10 , 0x00000000
9340ns , 0xc4 , x03 , 0x00000002
